5C0S,"Q6WG00,","P04578,"
5C0S,"Q6WG00,",D9IEJ2
5C0S,"P04578,",D9IEJ2
6JXR,"A0A0B4J271,","A0N4Z6,"
6JXR,"A0A0B4J271,",P01848
6JXR,"A0N4Z6,",P01848
7FJD,"A0A0B4J271,","A0N4Z6,"
7FJD,"A0A0B4J271,",P01848
7FJD,"A0N4Z6,",P01848
7FJE,"A0A0B4J271,","A0N4Z6,"
7FJE,"A0A0B4J271,",P01848
7FJE,"A0N4Z6,",P01848
7FJF,"A0A0B4J271,","A0N4Z6,"
7FJF,"A0A0B4J271,",P01848
7FJF,"A0N4Z6,",P01848
7M7E,"Q03132,","Q03131,"
7M7E,"Q03132,",Q03133
7M7E,"Q03131,",Q03133
7NDQ,"P04435,","K7N5M4,"
7NDQ,"P04435,",A0A0J9YX06
7NDQ,"K7N5M4,",A0A0J9YX06
7NDT,"A0A5B0,","A0A0B4J200,"
7NDT,"A0A5B0,",A0A5B9
7NDT,"A0A0B4J200,",A0A5B9
7NDU,"P04435,","K7N5M4,"
7NDU,"P04435,",A0A0J9YX06
7NDU,"K7N5M4,",A0A0J9YX06
7RYC,"P59768,","P04899,"
7RYC,"P59768,",P63092
7RYC,"P04899,",P63092
7U8J,"A0A0G2YG46,","P19696,"
7U8J,"A0A0G2YG46,",A0A385F4V1
7U8J,"P19696,",A0A385F4V1
8THK,"P04899,","P63092,"
8THK,"P04899,",P50148
8THK,"P63092,",P50148
8THL,"P04899,","P50148,"
8THL,"P04899,",P63092
8THL,"P50148,",P63092
